id,text,language,situation,risk_level
1,I am stressed about my exams,en,ACADEMIC_STRESS,LOW
2,I am worried that I will fail my exams,en,ACADEMIC_STRESS,LOW
3,I cannot concentrate because of my studies,en,ACADEMIC_STRESS,LOW
4,I feel overwhelmed by my college work,en,ACADEMIC_STRESS,LOW
5,I am nervous about my future,en,GENERAL_ANXIETY,MODERATE
6,I cannot sleep because I keep worrying,en,GENERAL_ANXIETY,MODERATE
7,I keep thinking that something bad will happen,en,GENERAL_ANXIETY,MODERATE
8,I feel anxious all the time,en,GENERAL_ANXIETY,MODERATE
9,I feel completely alone,en,SOCIAL_ISOLATION,MODERATE
10,Nobody in my family talks to me anymore,en,SOCIAL_ISOLATION,MODERATE
11,I have no one to turn to for help,en,SOCIAL_ISOLATION,MODERATE
12,I feel isolated from everyone around me,en,SOCIAL_ISOLATION,MODERATE
13,They keep threatening my family,en,THREAT,HIGH
14,Someone has threatened to hurt me,en,THREAT,HIGH
15,I am receiving threats because I complained,en,THREAT,HIGH
16,They told me they would come after my family,en,THREAT,HIGH
17,I am afraid to leave my house,en,FEAR,HIGH
18,I am scared that someone is following me,en,FEAR,HIGH
19,I am afraid to return home,en,FEAR,HIGH
20,I feel unsafe whenever I go outside,en,FEAR,HIGH
21,We were forced to leave our home,en,DISPLACEMENT,HIGH
22,My family had to leave the area because of threats,en,DISPLACEMENT,HIGH
23,I no longer have a safe place to stay,en,DISPLACEMENT,HIGH
24,They forced us to move away from our community,en,DISPLACEMENT,HIGH
25,Everyone has stopped talking to us,en,SOCIAL_BOYCOTT,HIGH
26,Our community has refused to interact with my family,en,SOCIAL_BOYCOTT,HIGH
27,People are deliberately excluding my family,en,SOCIAL_BOYCOTT,HIGH
28,We are being isolated by the community,en,SOCIAL_BOYCOTT,HIGH
29,They are forcing me to withdraw my complaint,en,INTIMIDATION,HIGH
30,They are pressuring me not to report what happened,en,INTIMIDATION,HIGH
31,I am being intimidated because I spoke up,en,INTIMIDATION,HIGH
32,They keep warning me not to complain,en,INTIMIDATION,HIGH
33,"For the past few days, I have been receiving threatening messages and I need help dealing with it.",en,THREAT,HIGH
34,I have started to feel that Someone is pressuring me to stop reporting the incident and I need help dealing with it.,en,INTIMIDATION,HIGH
35,"Right now, People are deliberately avoiding my family and I am finding it difficult to manage.",en,SOCIAL_BOYCOTT,HIGH
36,"Lately, I am scared that someone will hurt me and this situation is becoming overwhelming.",en,FEAR,HIGH
37,I feel that People refuse to include us in community activities,en,SOCIAL_BOYCOTT,HIGH
38,"Recently, I feel scared whenever I leave home every day.",en,FEAR,HIGH
39,"Recently, Someone warned me that they would hurt me and I am finding it difficult to manage.",en,THREAT,HIGH
40,I keep feeling that I am struggling to cope with academic pressure lately.,en,ACADEMIC_STRESS,LOW
41,"At the moment, I am frightened about what might happen and I am finding it difficult to manage.",en,FEAR,HIGH
42,"Recently, I am being pressured to remain silent and I don't know what to do.",en,INTIMIDATION,HIGH
43,"Right now, I have nobody to talk to every day.",en,SOCIAL_ISOLATION,MODERATE
44,"For the past few days, I am being intimidated because I spoke up and I need help dealing with it.",en,INTIMIDATION,HIGH
45,"Recently, My family had to move because of threats lately.",en,DISPLACEMENT,HIGH
