id,text,immediate_danger,threat,violence,self_harm,current_intent,plan_mentioned,safety_level
1,I am worried about my exams,0,0,0,0,0,0,LOW
2,I feel stressed about my studies,0,0,0,0,0,0,LOW
3,I don't feel safe going home,1,0,0,0,0,0,HIGH
4,Someone is threatening me,1,1,0,0,0,0,HIGH
5,They said they will hurt my family,1,1,1,0,0,0,CRITICAL
6,They threatened to attack me if I complained,1,1,1,0,0,0,CRITICAL
7,They keep following me wherever I go,1,0,0,0,0,0,HIGH
8,Someone is stalking me,1,0,0,0,0,0,HIGH
9,They keep harassing me,0,1,0,0,0,0,HIGH
10,They are forcing me to withdraw my complaint,1,1,0,0,0,0,HIGH
11,They are pressuring me not to report what happened,1,1,0,0,0,0,HIGH
12,I am afraid they will retaliate against me,1,1,0,0,0,0,CRITICAL
13,They have physically attacked me,1,0,1,0,0,0,CRITICAL
14,Someone in my home is hurting me,1,0,1,0,0,0,CRITICAL
15,I am being forced to stay somewhere against my will,1,1,1,0,0,0,CRITICAL
16,They won't let me leave the house,1,0,1,0,0,0,CRITICAL
17,I cannot keep myself safe,1,0,0,1,1,0,CRITICAL
18,I am thinking about hurting myself,1,0,0,1,1,0,CRITICAL
19,I don't want to be alive anymore,1,0,0,1,1,0,CRITICAL
20,I feel like there is no way out,1,0,0,1,0,0,CRITICAL
21,Life feels completely pointless,1,0,0,1,0,0,CRITICAL
22,I have been thinking about suicide,1,0,0,1,1,0,CRITICAL
23,I have hurt myself before,1,0,0,1,0,0,HIGH
24,I am afraid I might hurt myself right now,1,0,0,1,1,0,CRITICAL
25,I have a plan to hurt myself,1,0,0,1,1,1,CRITICAL
26,They are threatening to harm my parents,1,1,1,0,0,0,CRITICAL
27,I am scared they will find me,1,1,0,0,0,0,HIGH
28,I am afraid someone will come looking for me,1,1,0,0,0,0,HIGH
29,They are trying to force me to do something,1,1,0,0,0,0,HIGH
30,They are blackmailing me,1,1,0,0,0,0,HIGH
31,I am worried that The same person keeps appearing wherever I go and I need help dealing with this.,1,0,0,0,0,0,HIGH
32,"Right now, I am afraid because of repeated threats these days.",1,1,0,0,0,0,HIGH
33,I keep feeling that They keep warning me to stay silent and I don't know what to do.,0,1,0,0,0,0,HIGH
34,I am scared that Someone keeps following me and it is becoming difficult to cope.,1,0,0,0,0,0,HIGH
35,I feel that I keep thinking about ending my life lately.,1,0,0,1,0,0,CRITICAL
