id,text,language,indicator,present
1,I feel sad almost all the time,en,PERSISTENT_SADNESS,1
2,I have been feeling deeply sad for a long time,en,PERSISTENT_SADNESS,1
3,The sadness does not seem to go away,en,PERSISTENT_SADNESS,1
4,I feel unhappy every day,en,PERSISTENT_SADNESS,1
5,Nothing interests me anymore,en,LOSS_OF_INTEREST,1
6,I have stopped enjoying things I used to like,en,LOSS_OF_INTEREST,1
7,I don't feel interested in doing anything,en,LOSS_OF_INTEREST,1
8,Things that once made me happy no longer do,en,LOSS_OF_INTEREST,1
9,I feel like nothing will ever get better,en,HOPELESSNESS,1
10,I have lost hope about my future,en,HOPELESSNESS,1
11,I don't see any positive future for myself,en,HOPELESSNESS,1
12,I feel there is no hope left,en,HOPELESSNESS,1
13,I feel worthless,en,WORTHLESSNESS,1
14,I feel like I have no value,en,WORTHLESSNESS,1
15,I feel that I am a burden to everyone,en,WORTHLESSNESS,1
16,I don't think I am good enough for anything,en,WORTHLESSNESS,1
17,I keep blaming myself for everything,en,EXCESSIVE_GUILT,1
18,I feel guilty even when things are not my fault,en,EXCESSIVE_GUILT,1
19,I cannot stop feeling guilty about what happened,en,EXCESSIVE_GUILT,1
20,I keep thinking that everything is my fault,en,EXCESSIVE_GUILT,1
21,I have no motivation to do anything,en,LOW_MOTIVATION,1
22,It is difficult for me to get myself to do anything,en,LOW_MOTIVATION,1
23,I don't have the energy or motivation to start my work,en,LOW_MOTIVATION,1
24,I have stopped trying to do things,en,LOW_MOTIVATION,1
25,I have stopped talking to my friends,en,SOCIAL_WITHDRAWAL,1
26,I don't want to meet anyone anymore,en,SOCIAL_WITHDRAWAL,1
27,I keep myself away from everyone,en,SOCIAL_WITHDRAWAL,1
28,I have withdrawn from people around me,en,SOCIAL_WITHDRAWAL,1
29,I have trouble sleeping,en,SLEEP_PROBLEMS,1
30,I cannot sleep properly at night,en,SLEEP_PROBLEMS,1
31,I wake up repeatedly during the night,en,SLEEP_PROBLEMS,1
32,My sleeping pattern has changed,en,SLEEP_PROBLEMS,1
33,My appetite has changed recently,en,APPETITE_CHANGES,1
34,I don't feel like eating anymore,en,APPETITE_CHANGES,1
35,I have been eating much less than usual,en,APPETITE_CHANGES,1
36,I feel tired almost all the time,en,FATIGUE,1
37,I have very little energy during the day,en,FATIGUE,1
38,I feel exhausted even after resting,en,FATIGUE,1
39,I find it difficult to concentrate,en,DIFFICULTY_CONCENTRATING,1
40,I cannot focus on my studies anymore,en,DIFFICULTY_CONCENTRATING,1
41,"Lately, I have been eating much less than usual and it is affecting my daily life.",en,APPETITE_CHANGES,1
42,I keep feeling that I struggle to start even simple tasks and this is affecting my daily routine.,en,LOW_MOTIVATION,1
43,"At the moment, I don't think I am good enough",en,WORTHLESSNESS,1
44,"Lately, I don't have the energy or motivation to begin tasks and I don't know how to deal with it.",en,LOW_MOTIVATION,1
45,I don't feel like eating anymore and I don't know how to deal with it.,en,APPETITE_CHANGES,1
46,"These days, My sleep is disturbed almost every night and I am struggling to cope.",en,SLEEP_PROBLEMS,1
47,"Lately, The sadness has continued for weeks and this is affecting my daily routine.",en,PERSISTENT_SADNESS,1
48,"These days, I rarely feel excited about anything anymore and this is affecting my daily routine.",en,LOSS_OF_INTEREST,1
49,"For the past few days, I keep thinking that I should have done something differently these days.",en,EXCESSIVE_GUILT,1
50,I have noticed that I rarely feel rested after sleeping and it has become difficult to manage.,en,SLEEP_PROBLEMS,1
51,"For the past few days, I have lost the motivation to study these days.",en,LOW_MOTIVATION,1
52,I feel that I rarely feel rested after sleeping and I find it difficult to change.,en,SLEEP_PROBLEMS,1
53,"For the past few days, Even important things feel difficult to start",en,LOW_MOTIVATION,1
54,I feel that I feel there is no way out of my situation and it has been getting worse.,en,HOPELESSNESS,1
55,I keep feeling that My sleep has become irregular lately.,en,SLEEP_PROBLEMS,1
56,"Lately, I have trouble falling asleep lately.",en,SLEEP_PROBLEMS,1
57,"Recently, I don't have the energy or motivation to begin tasks and I find it difficult to change.",en,LOW_MOTIVATION,1
58,"Lately, I feel guilty about what happened and it is affecting my daily life.",en,EXCESSIVE_GUILT,1
59,"Lately, I don't think I am good enough lately.",en,WORTHLESSNESS,1
60,"For the past few days, I wake up and cannot get back to sleep lately.",en,SLEEP_PROBLEMS,1
61,"Recently, I am having difficulty maintaining a normal eating pattern lately.",en,APPETITE_CHANGES,1
62,I feel that I have been struggling to maintain normal sleep and this is affecting my daily routine.,en,SLEEP_PROBLEMS,1
63,I have noticed that I prefer to stay alone most of the time and it has become difficult to manage.,en,SOCIAL_WITHDRAWAL,1
64,I have noticed that I have stopped enjoying my hobbies,en,LOSS_OF_INTEREST,1
65,"These days, Nothing interests me anymore these days.",en,LOSS_OF_INTEREST,1
66,"Right now, I don't feel like communicating with anyone and it is affecting my daily life.",en,SOCIAL_WITHDRAWAL,1
67,I keep thinking that I should have done something differently and I find it difficult to change.,en,EXCESSIVE_GUILT,1
68,I have noticed that I feel sad almost every day and I don't know how to deal with it.,en,PERSISTENT_SADNESS,1
69,I feel that I prefer to stay alone most of the time and it has been getting worse.,en,SOCIAL_WITHDRAWAL,1
70,"These days, I have been distancing myself from everyone and I don't know how to deal with it.",en,SOCIAL_WITHDRAWAL,1
71,I keep feeling that My eating pattern has changed since the incident and it is affecting my daily life.,en,APPETITE_CHANGES,1
72,I don't think I am good enough lately.,en,WORTHLESSNESS,1
73,I have noticed that I don't feel interested in doing anything and I am struggling to cope.,en,LOSS_OF_INTEREST,1
74,"Lately, I feel like everyone would be better without me and I don't know how to deal with it.",en,WORTHLESSNESS,1
75,I feel that I rarely feel excited about anything anymore and it has become difficult to manage.,en,LOSS_OF_INTEREST,1
