text,situation,stress,fear,anxiety,distress,trauma,threat,violence,immediate_danger,isolation,vulnerability
"Things have been difficult at home recently, and I feel like I can't handle everything by myself.",FAMILY_STRESS,0.8,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.4,0.5
"My family has been going through a lot lately and I don't know how to deal with everything.",FAMILY_STRESS,0.8,0.1,0.5,0.8,0.0,0.0,0.0,0.0,0.2,0.4
"There has been a lot of tension at home and it is becoming difficult for me.",FAMILY_STRESS,0.8,0.2,0.5,0.7,0.0,0.0,0.0,0.0,0.1,0.3
"My parents keep putting pressure on me and I don't know how to handle it.",FAMILY_STRESS,0.8,0.1,0.6,0.7,0.0,0.0,0.0,0.0,0.1,0.3
"Everyone at home keeps arguing and I am exhausted from dealing with it.",FAMILY_STRESS,0.7,0.2,0.5,0.7,0.0,0.0,0.0,0.0,0.1,0.2
"I have too many responsibilities at home and it is getting hard to manage them.",FAMILY_STRESS,0.8,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.4
"I feel like everything at home depends on me.",FAMILY_STRESS,0.7,0.1,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.5
"Home doesn't feel peaceful anymore and I don't know what to do.",FAMILY_STRESS,0.6,0.4,0.5,0.7,0.0,0.1,0.0,0.0,0.1,0.4
"I have been struggling to keep up with everything at college lately.",ACADEMIC_STRESS,0.8,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2
"Every time I think about my exams I start worrying.",ACADEMIC_STRESS,0.7,0.2,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0
"I don't know how I'm going to get through this semester.",ACADEMIC_STRESS,0.7,0.2,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.1
"I studied hard but I still feel like I am falling behind.",ACADEMIC_STRESS,0.7,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.1
"I have so much coursework left and I can't seem to concentrate.",ACADEMIC_STRESS,0.8,0.1,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.1
"I keep thinking that I might fail my exams.",ACADEMIC_STRESS,0.7,0.7,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.1
"My grades have been worrying me a lot lately.",ACADEMIC_STRESS,0.7,0.3,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0
"I am under a lot of pressure to do well in my studies.",ACADEMIC_STRESS,0.8,0.2,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.2
"I have been under a lot of pressure at work and I feel exhausted.",WORK_STRESS,0.9,0.1,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.1
"I keep getting more work and I don't know how I will finish everything.",WORK_STRESS,0.9,0.1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.1
"My workload has become too much for me lately.",WORK_STRESS,0.9,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.1
"I have deadlines coming from every direction and I am struggling to keep up.",WORK_STRESS,0.9,0.1,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.1
"I feel completely drained after dealing with work every day.",WORK_STRESS,0.8,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.1
"My job has become really stressful and I don't know how long I can continue like this.",WORK_STRESS,0.9,0.1,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.2
"I am worried about losing my job and what that would mean for my family.",WORK_STRESS,0.8,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.4
"I have been working constantly but it still feels like I am falling behind.",WORK_STRESS,0.8,0.1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.1
"Money has been tight lately and I am worried about how we will manage.",FINANCIAL_STRESS,0.8,0.2,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.3
"I don't know how I am going to pay all of my bills this month.",FINANCIAL_STRESS,0.9,0.2,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.4
"We are struggling financially and I don't know what to do next.",FINANCIAL_STRESS,0.8,0.2,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.5
"I have debts that I can't seem to get under control.",FINANCIAL_STRESS,0.8,0.2,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.4
"I am constantly worrying about money.",FINANCIAL_STRESS,0.7,0.1,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3
"I don't know how we are going to afford everything we need.",FINANCIAL_STRESS,0.8,0.2,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.5
"I keep worrying about what might happen next.",ANXIETY,0.3,0.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
