id,text,language,indicator,present,risk_level
1,I am afraid to go to court,en,FEAR_OF_COURT,1,MODERATE
2,The thought of going to court makes me very anxious,en,FEAR_OF_COURT,1,MODERATE
3,I don't know what will happen when I go to court,en,FEAR_OF_COURT,1,MODERATE
4,I am scared about appearing before the court,en,FEAR_OF_COURT,1,MODERATE
5,I don't understand what will happen with my case,en,LEGAL_UNCERTAINTY,1,MODERATE
6,I am uncertain about the legal process,en,LEGAL_UNCERTAINTY,1,MODERATE
7,I don't know what my legal options are,en,LEGAL_UNCERTAINTY,1,HIGH
8,I have no idea how long my case will take,en,LEGAL_UNCERTAINTY,1,MODERATE
9,I am frustrated with how my case is being handled,en,FRUSTRATION_WITH_PROCEEDINGS,1,MODERATE
10,The legal proceedings are exhausting me,en,FRUSTRATION_WITH_PROCEEDINGS,1,HIGH
11,I am frustrated because nothing seems to move forward,en,FRUSTRATION_WITH_PROCEEDINGS,1,HIGH
12,The process has become extremely difficult for me,en,FRUSTRATION_WITH_PROCEEDINGS,1,HIGH
13,I am exhausted from reporting the same thing repeatedly,en,REPEATED_REPORTING_FATIGUE,1,HIGH
14,I have had to explain what happened again and again,en,REPEATED_REPORTING_FATIGUE,1,HIGH
15,I am tired of repeatedly reporting the incident,en,REPEATED_REPORTING_FATIGUE,1,HIGH
16,I don't have the energy to keep reporting this,en,REPEATED_REPORTING_FATIGUE,1,HIGH
17,I don't trust the authorities,en,DISTRUST_OF_AUTHORITIES,1,HIGH
18,I don't believe the authorities will help me,en,DISTRUST_OF_AUTHORITIES,1,HIGH
19,I feel like the authorities are ignoring my situation,en,DISTRUST_OF_AUTHORITIES,1,HIGH
20,I am afraid that the authorities will not take me seriously,en,DISTRUST_OF_AUTHORITIES,1,HIGH
21,I am afraid of going to the police,en,FEAR_OF_POLICE,1,HIGH
22,I am scared that the police will not protect me,en,FEAR_OF_POLICE,1,HIGH
23,I don't feel safe speaking to the police,en,FEAR_OF_POLICE,1,HIGH
24,I am worried about what will happen if I approach the police,en,FEAR_OF_POLICE,1,HIGH
25,I am afraid they will retaliate after I complain,en,FEAR_OF_RETALIATION_AFTER_COMPLAINT,1,CRITICAL
26,I fear that reporting this will make things worse,en,FEAR_OF_RETALIATION_AFTER_COMPLAINT,1,HIGH
27,I am scared they will come after my family because I complained,en,FEAR_OF_RETALIATION_AFTER_COMPLAINT,1,CRITICAL
28,I worry that the person I reported will retaliate,en,FEAR_OF_RETALIATION_AFTER_COMPLAINT,1,CRITICAL
29,My case has been delayed for a long time,en,PERCEIVED_DELAYS,1,MODERATE
30,Nothing seems to happen with my complaint,en,PERCEIVED_DELAYS,1,HIGH
31,I have been waiting for a long time for action,en,PERCEIVED_DELAYS,1,HIGH
32,The delay in my case is causing me a lot of stress,en,PERCEIVED_DELAYS,1,HIGH
33,I feel like nobody is listening to me,en,FEELING_IGNORED_UNHEARD,1,HIGH
34,I feel ignored whenever I ask for help,en,FEELING_IGNORED_UNHEARD,1,HIGH
35,Nobody seems to hear what I am saying,en,FEELING_IGNORED_UNHEARD,1,HIGH
36,I feel like my complaint does not matter to anyone,en,FEELING_IGNORED_UNHEARD,1,HIGH
37,I am losing trust in the legal system,en,DISTRUST_OF_AUTHORITIES,1,HIGH
38,I don't know who I can approach for legal help,en,LEGAL_UNCERTAINTY,1,HIGH
39,I am tired of waiting for my complaint to be addressed,en,PERCEIVED_DELAYS,1,HIGH
40,I feel unheard throughout the legal process,en,FEELING_IGNORED_UNHEARD,1,HIGH
41,I keep feeling that I worry that my family may face retaliation,en,FEAR_OF_RETALIATION_AFTER_COMPLAINT,1,CRITICAL
42,I have been waiting for a long time for action and I am becoming increasingly worried.,en,PERCEIVED_DELAYS,1,HIGH
