id,text,language,indicator,present,risk_level
1,People treat me differently because of my community,en,DISCRIMINATION,1,HIGH
2,I am being discriminated against by people around me,en,DISCRIMINATION,1,HIGH
3,They refuse to treat my family fairly,en,DISCRIMINATION,1,HIGH
4,I am being treated badly because of who I am,en,DISCRIMINATION,1,HIGH
5,They publicly humiliated me,en,HUMILIATION,1,HIGH
6,My family was humiliated in front of everyone,en,HUMILIATION,1,HIGH
7,People insult me whenever I go outside,en,HUMILIATION,1,HIGH
8,I was made to feel ashamed in front of the community,en,HUMILIATION,1,HIGH
9,People in the community refuse to speak with us,en,SOCIAL_EXCLUSION,1,HIGH
10,I am being excluded from community activities,en,SOCIAL_EXCLUSION,1,HIGH
11,Nobody wants to associate with my family,en,SOCIAL_EXCLUSION,1,HIGH
12,People deliberately keep me away from the community,en,SOCIAL_EXCLUSION,1,HIGH
13,Everyone has stopped talking to my family,en,SOCIAL_BOYCOTT,1,HIGH
14,Our community has refused to interact with us,en,SOCIAL_BOYCOTT,1,HIGH
15,People are deliberately boycotting my family,en,SOCIAL_BOYCOTT,1,HIGH
16,The community has stopped doing business with us,en,SOCIAL_BOYCOTT,1,HIGH
17,My community has rejected my family,en,COMMUNITY_REJECTION,1,HIGH
18,People have turned against us,en,COMMUNITY_REJECTION,1,HIGH
19,The community refuses to accept us,en,COMMUNITY_REJECTION,1,HIGH
20,I feel rejected by everyone around me,en,COMMUNITY_REJECTION,1,HIGH
21,They abuse me because of my caste,en,CASTE_BASED_ABUSE,1,HIGH
22,People insult my family because of our caste,en,CASTE_BASED_ABUSE,1,HIGH
23,I am being verbally abused because of my caste,en,CASTE_BASED_ABUSE,1,HIGH
24,They use caste-based insults against me,en,CASTE_BASED_ABUSE,1,HIGH
25,I have received threats because of my caste,en,CASTE_BASED_THREATS,1,CRITICAL
26,People from the community threatened my family,en,CASTE_BASED_THREATS,1,CRITICAL
27,They threatened me because I complained about caste discrimination,en,CASTE_BASED_THREATS,1,CRITICAL
28,I am afraid because of threats from people in the community,en,CASTE_BASED_THREATS,1,CRITICAL
29,I lost my work because of pressure from the community,en,LOSS_OF_LIVELIHOOD,1,HIGH
30,People stopped giving me work because of the community conflict,en,LOSS_OF_LIVELIHOOD,1,HIGH
31,My family lost its source of income,en,LOSS_OF_LIVELIHOOD,1,HIGH
32,I cannot earn a living because of the situation,en,LOSS_OF_LIVELIHOOD,1,HIGH
33,We were forced to leave our community,en,FORCED_DISPLACEMENT,1,HIGH
34,My family had to move away because of community pressure,en,FORCED_DISPLACEMENT,1,HIGH
35,They forced us to leave the area,en,FORCED_DISPLACEMENT,1,HIGH
36,We cannot safely remain in our community,en,FORCED_DISPLACEMENT,1,HIGH
37,I am afraid of people in my community,en,FEAR_OF_COMMUNITY,1,HIGH
38,I am scared that people around us will harm my family,en,FEAR_OF_COMMUNITY,1,HIGH
39,I don't feel safe around members of the community,en,FEAR_OF_COMMUNITY,1,HIGH
40,I am afraid to return to my community,en,FEAR_OF_COMMUNITY,1,HIGH
41,My family is pressuring me not to report what happened,en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
42,My relatives are telling me to stay silent,en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
43,People in my community are pressuring me to withdraw my complaint,en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
44,My family says I should not seek help,en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
45,"Recently, Nobody wants to include my family",en,SOCIAL_EXCLUSION,1,HIGH
46,"Right now, I am afraid to return to my community and this is affecting my daily life.",en,FEAR_OF_COMMUNITY,1,HIGH
47,"Right now, My relatives are afraid that I will speak about the incident",en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
48,"For the past few days, I cannot return to my previous home safely and I need help.",en,FORCED_DISPLACEMENT,1,HIGH
49,I keep feeling that People intentionally leave us out and I don't know what to do.,en,SOCIAL_EXCLUSION,1,HIGH
50,I feel that I am afraid to return to my community and this is affecting my daily life.,en,FEAR_OF_COMMUNITY,1,HIGH
51,"Recently, My relatives are telling me not to report what happened these days.",en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
52,"These days, Someone threatened me because I spoke about discrimination lately.",en,CASTE_BASED_THREATS,1,CRITICAL
53,I have noticed that My family was forced to relocate and I feel increasingly unsafe.,en,FORCED_DISPLACEMENT,1,HIGH
54,I don't feel safe around members of the community and this is affecting my daily life.,en,FEAR_OF_COMMUNITY,1,HIGH
55,I keep feeling that People humiliated me because of what happened and it is becoming difficult to cope.,en,HUMILIATION,1,HIGH
56,I keep feeling that I am afraid of people in my community and I don't know what to do.,en,FEAR_OF_COMMUNITY,1,HIGH
57,"These days, I am frightened of the reaction from my community and I don't know what to do.",en,FEAR_OF_COMMUNITY,1,HIGH
58,"At the moment, People in the community refuse to accept us lately.",en,COMMUNITY_REJECTION,1,HIGH
59,"Lately, My family lost its source of income",en,LOSS_OF_LIVELIHOOD,1,HIGH
60,Someone threatened me because I spoke about discrimination and I don't know what to do.,en,CASTE_BASED_THREATS,1,CRITICAL
61,"For the past few days, I no longer feel accepted in my community",en,COMMUNITY_REJECTION,1,HIGH
62,"For the past few days, They warned me that something would happen if I complained and this is affecting my daily life.",en,CASTE_BASED_THREATS,1,CRITICAL
63,I keep feeling that My family is being kept out of community events and the situation is getting worse.,en,SOCIAL_EXCLUSION,1,HIGH
64,I keep feeling that They publicly humiliated me because of the situation.,en,HUMILIATION,1,HIGH
65,"Right now, People refuse to let us participate in community activities",en,SOCIAL_EXCLUSION,1,HIGH
66,My family is verbally abused because of our caste these days.,en,CASTE_BASED_ABUSE,1,HIGH
67,"At the moment, They make insulting comments about my caste because of the situation.",en,CASTE_BASED_ABUSE,1,HIGH
68,"Recently, My relatives are telling me not to report what happened and the situation is getting worse.",en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
69,I have noticed that I experience unfair treatment because of who I am and I feel increasingly unsafe.,en,DISCRIMINATION,1,HIGH
70,"Lately, People use caste-based insults against me these days.",en,CASTE_BASED_ABUSE,1,HIGH
71,"Lately, I am repeatedly treated unfairly and I feel increasingly unsafe.",en,DISCRIMINATION,1,HIGH
72,"Recently, We cannot safely remain in our community and I feel increasingly unsafe.",en,FORCED_DISPLACEMENT,1,HIGH
73,"These days, People humiliated me because of what happened lately.",en,HUMILIATION,1,HIGH
74,"Right now, They publicly humiliated me and I feel increasingly unsafe.",en,HUMILIATION,1,HIGH
75,"Recently, We were pushed out of our community and it is becoming difficult to cope.",en,FORCED_DISPLACEMENT,1,HIGH
76,"Recently, The experience left me feeling deeply humiliated these days.",en,HUMILIATION,1,HIGH
77,I was publicly insulted by members of the community because of the situation.,en,HUMILIATION,1,HIGH
78,People around me are pressuring me not to complain these days.,en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
79,I have noticed that I worry about what people in my community might do and I feel increasingly unsafe.,en,FEAR_OF_COMMUNITY,1,HIGH
80,I feel that They use derogatory words against me because of my caste,en,CASTE_BASED_ABUSE,1,HIGH
81,"Right now, The community refuses to support us because of the situation.",en,COMMUNITY_REJECTION,1,HIGH
82,"Right now, I am afraid to return to my community",en,FEAR_OF_COMMUNITY,1,HIGH
83,I have noticed that I am treated differently from everyone else and it is becoming difficult to cope.,en,DISCRIMINATION,1,HIGH
84,I keep feeling that I am scared that people around us will harm my family lately.,en,FEAR_OF_COMMUNITY,1,HIGH
85,I keep feeling that I have experienced caste-based verbal abuse because of the situation.,en,CASTE_BASED_ABUSE,1,HIGH
86,"For the past few days, I feel excluded from everyone around me",en,SOCIAL_EXCLUSION,1,HIGH
87,I feel that I am afraid because of caste-based threats and the situation is getting worse.,en,CASTE_BASED_THREATS,1,CRITICAL
88,I keep feeling that Our family is being socially boycotted because of the situation.,en,SOCIAL_BOYCOTT,1,HIGH
89,I have noticed that I am struggling financially because I lost my source of income and I don't know what to do.,en,LOSS_OF_LIVELIHOOD,1,HIGH
90,"Lately, I lost my job after the community conflict and it is becoming difficult to cope.",en,LOSS_OF_LIVELIHOOD,1,HIGH
91,"Recently, People in my community are pressuring me to withdraw my complaint these days.",en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
92,I feel that We cannot safely remain in our community because of the situation.,en,FORCED_DISPLACEMENT,1,HIGH
93,"For the past few days, I had to leave my home because of threats and I don't know what to do.",en,FORCED_DISPLACEMENT,1,HIGH
94,"These days, Nobody wants to associate with us lately.",en,SOCIAL_BOYCOTT,1,HIGH
95,"At the moment, I am scared that people around us will harm my family and this is affecting my daily life.",en,FEAR_OF_COMMUNITY,1,HIGH
96,I keep feeling that I no longer feel accepted in my community lately.,en,COMMUNITY_REJECTION,1,HIGH
97,I have noticed that They deliberately embarrassed me in public and I feel increasingly unsafe.,en,HUMILIATION,1,HIGH
98,"Right now, I am being discriminated against by people around me and this is affecting my daily life.",en,DISCRIMINATION,1,HIGH
99,"Lately, My livelihood has been affected by discrimination and I need help.",en,LOSS_OF_LIVELIHOOD,1,HIGH
100,My family was humiliated in front of everyone and the situation is getting worse.,en,HUMILIATION,1,HIGH
101,"At the moment, People intentionally leave us out and it is becoming difficult to cope.",en,SOCIAL_EXCLUSION,1,HIGH
102,"Lately, People humiliate me because of my caste and I don't know what to do.",en,CASTE_BASED_ABUSE,1,HIGH
103,I am repeatedly treated unfairly lately.,en,DISCRIMINATION,1,HIGH
104,"Right now, People around me are pressuring me not to complain and I don't know what to do.",en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
105,"These days, We were forced to leave our community and I need help.",en,FORCED_DISPLACEMENT,1,HIGH
106,I have noticed that I feel completely rejected by the people around me and I feel increasingly unsafe.,en,COMMUNITY_REJECTION,1,HIGH
107,"These days, I am being discriminated against by people around me and the situation is getting worse.",en,DISCRIMINATION,1,HIGH
108,"At the moment, Nobody wants to include my family and I feel increasingly unsafe.",en,SOCIAL_EXCLUSION,1,HIGH
109,"At the moment, My family is verbally abused because of our caste and this is affecting my daily life.",en,CASTE_BASED_ABUSE,1,HIGH
110,"These days, People in my community are pressuring me to withdraw my complaint these days.",en,FAMILY_COMMUNITY_PRESSURE,1,HIGH
111,I feel that Someone threatened me because I spoke about discrimination these days.,en,CASTE_BASED_THREATS,1,CRITICAL
112,I feel that Someone threatened me because I spoke about discrimination and it is becoming difficult to cope.,en,CASTE_BASED_THREATS,1,CRITICAL
113,I keep feeling that People treat me differently because of my background and the situation is getting worse.,en,DISCRIMINATION,1,HIGH
114,"For the past few days, I am excluded from social gatherings",en,SOCIAL_EXCLUSION,1,HIGH
115,I feel that They deliberately embarrassed me in public lately.,en,HUMILIATION,1,HIGH
116,I have noticed that They make insulting comments about my caste,en,CASTE_BASED_ABUSE,1,HIGH
117,"These days, People refuse to interact with us",en,SOCIAL_BOYCOTT,1,HIGH
118,"For the past few days, My community has rejected my family",en,COMMUNITY_REJECTION,1,HIGH
119,"Recently, People are deliberately avoiding my family and I don't know what to do.",en,SOCIAL_BOYCOTT,1,HIGH
120,I have noticed that I have experienced caste-based verbal abuse and the situation is getting worse.,en,CASTE_BASED_ABUSE,1,HIGH
121,"Lately, My livelihood has been affected by discrimination",en,LOSS_OF_LIVELIHOOD,1,HIGH
122,I have noticed that Our family is being socially boycotted and this is affecting my daily life.,en,SOCIAL_BOYCOTT,1,HIGH
