file_id,emotion,duration,energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
03-01-01-01-01-01-01,neutral,3.3033125,0.0023259834852069616,0.07177734375,2500.219320415312,1808.5441655817826,-693.706,50.268967,0.3894451,14.521958,3.1664813,-2.4844515,-4.226547,-10.68214,-7.246645,1.6888669,-4.1754007,1.7342992,-5.073998
03-01-01-01-01-02-01,neutral,3.3366875,0.0025050262920558453,0.07063802083333333,2603.191275430863,1981.6955666770389,-683.44385,49.043922,-1.7555562,19.273504,1.8818287,-0.7904724,-4.822916,-12.380527,-5.4003067,1.9609997,-4.0332785,1.1708747,-4.8263035
03-01-01-01-02-01-01,neutral,3.2699375,0.0028459944296628237,0.06645365594660194,2543.1182081788834,1992.2912938713787,-678.0028,51.6732,-0.24966261,14.532812,0.5722828,-0.07481274,-6.3000164,-10.638877,-7.673524,1.3027635,-3.796279,1.9109586,-5.6345224
03-01-01-01-02-02-01,neutral,3.169875,0.002660405822098255,0.07443359375,2488.5037189932027,1999.502036038212,-674.1987,50.815395,1.6719035,14.46561,2.909083,1.7061515,-7.5254707,-11.343741,-7.0870914,1.6866217,-2.4847612,0.53446126,-4.644229
03-01-02-01-01-01-01,calm,3.536875,0.0017037889920175076,0.07097673845720721,2516.5696914809614,1946.498129015592,-709.2609,55.990368,2.472364,16.629053,3.1925988,-0.96748793,-5.9351096,-8.926056,-9.092817,1.8279256,-4.497058,0.69059217,-5.059726
03-01-02-01-01-02-01,calm,3.603625,0.0018084717448800802,0.05283808075221239,2346.1258722343077,1820.2837640078365,-695.5115,61.43145,-0.7476747,14.4218235,4.581593,-2.692318,-7.145618,-8.0826435,-8.4222975,2.0046177,-3.6091511,-0.41491523,-5.327977
03-01-02-01-02-01-01,calm,3.5035,0.002640432445332408,0.07760120738636364,2595.795111775011,1891.574504017211,-687.58435,58.26385,-0.09324552,14.112365,1.6611794,1.670224,-6.5032716,-8.906676,-8.093613,2.2530532,-2.0594962,0.19861235,-4.9954677
03-01-02-01-02-02-01,calm,3.4701875,0.0026972240302711725,0.06796964592889908,2430.947377744936,1912.4993490305337,-684.9442,62.51678,-1.0898703,15.946918,2.3825934,1.3496513,-6.6137443,-9.018855,-7.464589,0.7911609,-2.3049757,0.78953546,-4.847437
03-01-02-02-01-01-01,calm,3.70375,0.0015354015631601214,0.05520945581896552,2231.57035955936,1764.6823825520942,-717.4787,63.973,1.9455196,15.866346,3.7456033,-1.9046597,-6.034119,-5.460269,-8.026064,2.0972967,-1.0509269,-1.0559182,-4.716463
03-01-02-02-01-02-01,calm,4.004,0.0016442238120362163,0.08333333333333333,2522.5964646287102,1854.4040015152336,-678.7297,59.957573,-2.505609,13.837838,1.4085264,-2.256837,-8.747709,-8.075612,-8.372251,2.690716,-2.341522,-1.967964,-5.243025
